Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2015,-,-,-,-,G,FI,P,140416,73083,249722,82399,545620
2015,-,-,-,-,G,AR,C,3985,0,7955,756,12696
2015,-,-,-,-,G,FA,P,48038,3037,23172,167691,241938
2015,-,-,-,-,U,FI,P,71219,1067,10594,42485,125365
2015,-,-,-,-,G,JR,C,244,20,3608,882,4754
2015,-,-,-,-,G,RA,P,9284,1466,6625,21473,38848
2015,-,-,-,-,G,JR,P,1765,1152,18919,41795,63631
2015,-,-,-,-,G,AR,P,7277,2884,76238,18062,104461
2015,-,-,-,-,U,FA,P,624,0,267,54,945
2015,-,-,-,-,G,NA,P,128931,3114,87462,33903,253410
2015,-,-,-,-,U,AR,P,1798,0,4620,775,7193
2015,-,-,-,-,G,SP,P,218,0,752,760,1730
2015,-,-,-,-,G,FI,C,596,0,152,218,966
2015,-,-,-,-,G,TA,P,0,149562,942,21,150525
2015,-,-,-,-,U,RA,P,992,0,118,542,1652
2015,-,-,-,-,G,EO,P,8081,602,9217,26091,43991
2015,-,-,-,-,G,IN,C,15298,0,290,23415,39003
2015,-,-,-,-,G,RA,C,0,0,0,51,51
2015,-,-,-,-,J,FI,P,4440,1488,92,3968,9988
2015,-,-,-,-,J,AR,P,184,0,25,285,494
2015,-,-,-,-,U,FI,C,29,0,0,54,83
2015,-,-,-,-,J,FA,P,104,0,35,10,149
2015,-,-,-,-,G,FA,C,135,0,0,0,135
2016,-,-,-,-,G,FI,P,154273,118903,275255,379279,927710
2016,-,-,-,-,U,FI,P,61987,55,14099,54068,130209
2016,-,-,-,-,G,AR,P,6947,7810,62456,633761,710974
2016,-,-,-,-,G,FA,P,42818,4373,21910,65247,134348
2016,-,-,-,-,G,JR,C,220,15,3976,183,4394
2016,-,-,-,-,G,RA,P,4715,4209,12436,34747,56107
2016,-,-,-,-,U,FA,P,49,0,15,15,79
2016,-,-,-,-,G,AR,C,5038,0,6649,594,12281
2016,-,-,-,-,G,JR,P,7494,1800,22888,39253,71435
2016,-,-,-,-,G,NA,P,253102,175345,166994,62525,657966
2016,-,-,-,-,U,AR,P,854,0,4186,3354,8394
2016,-,-,-,-,G,SP,P,142,0,467,462,1071
2016,-,-,-,-,J,FI,P,5353,534,10,8988,14885
2016,-,-,-,-,G,TA,P,0,21972,0,1716,23688
2016,-,-,-,-,U,JR,P,61,0,727,129,917
2016,-,-,-,-,U,RA,P,879,0,101,340,1320
2016,-,-,-,-,G,EO,P,9290,0,12537,34305,56132
2016,-,-,-,-,G,IN,C,11193,0,89,20542,31824
2016,-,-,-,-,G,RA,C,0,0,0,21,21
2016,-,-,-,-,J,FA,P,38,0,0,404,442
2016,-,-,-,-,J,AR,P,76,0,0,197,273
2016,-,-,-,-,U,FI,C,5,0,0,5,10
2016,-,-,-,-,U,NA,P,325,0,0,0,325
2017,-,-,-,-,G,FI,P,140000,77238,297451,105847,620536
2017,-,-,-,-,U,FI,P,64484,0,14323,83988,162795
2017,-,-,-,-,G,AR,P,11929,4608,72767,57265,146569
2017,-,-,-,-,G,FA,P,82507,8402,27021,46061,163991
2017,-,-,-,-,G,RA,P,4359,3837,10467,29749,48412
2017,-,-,-,-,G,JR,P,23811,8790,47552,66900,147053
2017,-,-,-,-,G,FI,C,2524,699,4341,1219,8783
2017,-,-,-,-,G,RA,C,25,5,244,448,722
2017,-,-,-,-,G,AR,C,5022,0,8531,589,14142
2017,-,-,-,-,G,NA,P,121916,134357,225806,82100,564179
2017,-,-,-,-,U,AR,P,758,0,6070,910,7738
2017,-,-,-,-,G,TA,P,0,10380,0,3935,14315
2017,-,-,-,-,U,JR,P,50,0,693,190,933
